November 2023 Global Gridded Temperature Anomalies (Degrees Celsius)
Base Period: 1991-2020
Missing: -999.00
Latitude,Longitude,Anomaly
77.5S,67.5E,-2.46
77.5S,72.5E,-2.38
77.5S,77.5E,-2.34
77.5S,82.5E,-2.33
77.5S,87.5E,-2.37
77.5S,92.5E,-2.43
77.5S,97.5E,-2.49
77.5S,102.5E,-2.45
77.5S,107.5E,-2.34
77.5S,112.5E,-2.27
77.5S,117.5E,-2.24
77.5S,122.5E,-2.22
77.5S,127.5E,-2.17
77.5S,132.5E,-2.08
77.5S,137.5E,-2.00
77.5S,142.5E,-1.94
77.5S,147.5E,-1.85
77.5S,152.5E,-1.74
77.5S,157.5E,-1.64
77.5S,162.5E,-1.14
77.5S,167.5E,-1.84
77.5S,172.5E,-1.40
77.5S,177.5E,-1.52
77.5S,177.5W,-1.75
77.5S,172.5W,-1.78
77.5S,167.5W,-1.07
77.5S,162.5W,-0.76
77.5S,157.5W,0.07
77.5S,152.5W,0.01
77.5S,147.5W,-0.20
77.5S,142.5W,-0.41
77.5S,137.5W,-0.76
77.5S,132.5W,-1.00
77.5S,127.5W,-1.11
77.5S,122.5W,-1.20
77.5S,117.5W,-1.20
77.5S,112.5W,-1.24
77.5S,107.5W,-1.07
77.5S,102.5W,-0.79
77.5S,97.5W,-0.63
77.5S,92.5W,-0.56
77.5S,87.5W,-0.49
77.5S,82.5W,-0.41
77.5S,77.5W,-0.35
77.5S,72.5W,-0.23
77.5S,67.5W,-0.04
77.5S,62.5W,0.09
77.5S,57.5W,0.17
77.5S,52.5W,0.25
77.5S,47.5W,0.27
77.5S,42.5W,0.11
77.5S,37.5W,0.12
77.5S,32.5W,0.57
77.5S,27.5W,0.05
77.5S,22.5W,-0.15
77.5S,17.5W,-0.20
77.5S,12.5W,-0.18
77.5S,7.5W,-0.04
77.5S,2.5W,0.01
72.5S,2.5E,0.39
72.5S,7.5E,-0.54
72.5S,12.5E,-0.64
72.5S,17.5E,-0.95
72.5S,22.5E,-0.95
72.5S,27.5E,-1.30
72.5S,32.5E,-1.48
72.5S,37.5E,-1.85
72.5S,42.5E,-2.39
72.5S,47.5E,-2.29
72.5S,52.5E,-2.45
72.5S,57.5E,-2.42
72.5S,62.5E,-2.29
72.5S,67.5E,-2.21
72.5S,72.5E,-3.06
72.5S,77.5E,-2.06
72.5S,82.5E,-1.79
72.5S,87.5E,-1.93
72.5S,92.5E,-2.13
72.5S,97.5E,-2.34
72.5S,102.5E,-2.50
72.5S,107.5E,-2.49
72.5S,112.5E,-2.63
72.5S,117.5E,-2.55
72.5S,122.5E,-2.23
72.5S,127.5E,-2.03
72.5S,132.5E,-1.92
72.5S,137.5E,-1.79
72.5S,142.5E,-1.67
72.5S,147.5E,-1.42
72.5S,152.5E,-1.12
72.5S,157.5E,-0.89
72.5S,162.5E,-0.78
72.5S,167.5E,-0.28
72.5S,172.5E,0.00
72.5S,177.5E,0.00
72.5S,177.5W,0.00
72.5S,172.5W,0.00
72.5S,167.5W,0.00
72.5S,162.5W,0.00
72.5S,157.5W,0.00
72.5S,152.5W,0.00
72.5S,147.5W,0.00
72.5S,142.5W,0.00
72.5S,137.5W,0.00
72.5S,132.5W,0.00
72.5S,127.5W,0.00
72.5S,122.5W,0.00
72.5S,117.5W,0.00
72.5S,112.5W,-0.02
72.5S,107.5W,0.00
72.5S,102.5W,0.00
72.5S,97.5W,0.17
72.5S,92.5W,0.23
72.5S,87.5W,0.11
72.5S,82.5W,0.09
72.5S,77.5W,0.11
72.5S,72.5W,0.10
72.5S,67.5W,0.42
72.5S,62.5W,0.41
72.5S,57.5W,0.00
72.5S,52.5W,0.00
72.5S,47.5W,0.00
72.5S,42.5W,0.00
72.5S,37.5W,0.00
72.5S,32.5W,0.00
72.5S,27.5W,0.00
72.5S,22.5W,0.00
72.5S,17.5W,-0.01
72.5S,12.5W,0.03
72.5S,7.5W,0.39
72.5S,2.5W,0.38
67.5S,2.5E,0.00
67.5S,7.5E,0.00
67.5S,12.5E,0.01
67.5S,17.5E,0.00
67.5S,22.5E,0.00
67.5S,27.5E,0.00
67.5S,32.5E,-0.04
67.5S,37.5E,-0.08
67.5S,42.5E,-0.13
67.5S,47.5E,-0.42
67.5S,52.5E,-0.94
67.5S,57.5E,-0.96
67.5S,62.5E,-0.64
67.5S,67.5E,-0.66
67.5S,72.5E,0.02
67.5S,77.5E,-0.02
67.5S,82.5E,-0.54
67.5S,87.5E,-0.93
67.5S,92.5E,-0.91
67.5S,97.5E,-1.05
67.5S,102.5E,-1.43
67.5S,107.5E,-1.09
67.5S,112.5E,-0.95
67.5S,117.5E,-0.90
67.5S,122.5E,-0.85
67.5S,127.5E,-0.77
67.5S,132.5E,-0.99
67.5S,137.5E,-0.74
67.5S,142.5E,-0.62
67.5S,147.5E,-0.17
67.5S,152.5E,-0.04
67.5S,157.5E,-0.01
67.5S,162.5E,-0.01
67.5S,167.5E,-0.01
67.5S,172.5E,-0.01
67.5S,177.5E,0.02
67.5S,177.5W,0.29
67.5S,172.5W,0.15
67.5S,167.5W,0.00
67.5S,162.5W,-0.01
67.5S,157.5W,0.00
67.5S,152.5W,0.00
67.5S,147.5W,0.00
67.5S,142.5W,-0.01
67.5S,137.5W,-0.02
67.5S,132.5W,-0.03
67.5S,127.5W,-0.08
67.5S,122.5W,-0.15
67.5S,117.5W,-0.18
67.5S,112.5W,-0.30
67.5S,107.5W,-0.51
67.5S,102.5W,-0.70
67.5S,97.5W,-0.81
67.5S,92.5W,-0.66
67.5S,87.5W,-0.63
67.5S,82.5W,-0.66
67.5S,77.5W,-0.57
67.5S,72.5W,-0.26
67.5S,67.5W,0.01
67.5S,62.5W,0.05
67.5S,57.5W,0.00
67.5S,52.5W,0.00
67.5S,47.5W,0.00
67.5S,42.5W,0.00
67.5S,37.5W,0.00
67.5S,32.5W,0.00
67.5S,27.5W,0.00
67.5S,22.5W,0.00
67.5S,17.5W,0.00
67.5S,12.5W,0.00
67.5S,7.5W,0.00
67.5S,2.5W,0.00
62.5S,2.5E,0.07
62.5S,7.5E,0.05
62.5S,12.5E,0.00
62.5S,17.5E,0.00
62.5S,22.5E,0.03
62.5S,27.5E,0.08
62.5S,32.5E,0.05
62.5S,37.5E,-0.01
62.5S,42.5E,-0.02
62.5S,47.5E,0.05
62.5S,52.5E,0.10
62.5S,57.5E,0.17
62.5S,62.5E,0.13
62.5S,67.5E,0.07
62.5S,72.5E,0.08
62.5S,77.5E,0.17
62.5S,82.5E,0.25
62.5S,87.5E,0.25
62.5S,92.5E,0.25
62.5S,97.5E,0.18
62.5S,102.5E,0.15
62.5S,107.5E,0.18
62.5S,112.5E,0.22
62.5S,117.5E,0.11
62.5S,122.5E,0.09
62.5S,127.5E,0.02
62.5S,132.5E,-0.09
62.5S,137.5E,-0.12
62.5S,142.5E,-0.19
62.5S,147.5E,-0.19
62.5S,152.5E,-0.10
62.5S,157.5E,-0.01
62.5S,162.5E,0.09
62.5S,167.5E,0.39
62.5S,172.5E,0.37
62.5S,177.5E,0.27
62.5S,177.5W,0.38
62.5S,172.5W,0.49
62.5S,167.5W,0.50
62.5S,162.5W,0.43
62.5S,157.5W,0.31
62.5S,152.5W,0.17
62.5S,147.5W,0.10
62.5S,142.5W,0.04
62.5S,137.5W,-0.07
62.5S,132.5W,-0.19
62.5S,127.5W,-0.26
62.5S,122.5W,-0.35
62.5S,117.5W,-0.50
62.5S,112.5W,-0.59
62.5S,107.5W,-0.64
62.5S,102.5W,-0.68
62.5S,97.5W,-0.73
62.5S,92.5W,-0.77
62.5S,87.5W,-0.75
62.5S,82.5W,-0.66
62.5S,77.5W,-0.67
62.5S,72.5W,-0.65
62.5S,67.5W,-0.49
62.5S,62.5W,-0.23
62.5S,57.5W,-0.02
62.5S,52.5W,0.09
62.5S,47.5W,0.09
62.5S,42.5W,0.06
62.5S,37.5W,0.17
62.5S,32.5W,0.20
62.5S,27.5W,0.21
62.5S,22.5W,0.20
62.5S,17.5W,0.16
62.5S,12.5W,0.16
62.5S,7.5W,0.13
62.5S,2.5W,0.09
57.5S,2.5E,0.52
57.5S,7.5E,0.48
57.5S,12.5E,0.43
57.5S,17.5E,0.39
57.5S,22.5E,0.39
57.5S,27.5E,0.30
57.5S,32.5E,0.23
57.5S,37.5E,0.15
57.5S,42.5E,0.13
57.5S,47.5E,0.09
57.5S,52.5E,0.05
57.5S,57.5E,0.03
57.5S,62.5E,0.00
57.5S,67.5E,-0.03
57.5S,72.5E,0.00
57.5S,77.5E,0.05
57.5S,82.5E,0.13
57.5S,87.5E,0.20
57.5S,92.5E,0.18
57.5S,97.5E,0.16
57.5S,102.5E,0.14
57.5S,107.5E,0.06
57.5S,112.5E,-0.03
57.5S,117.5E,-0.08
57.5S,122.5E,-0.10
57.5S,127.5E,-0.13
57.5S,132.5E,-0.15
57.5S,137.5E,-0.17
57.5S,142.5E,-0.17
57.5S,147.5E,-0.05
57.5S,152.5E,0.08
57.5S,157.5E,0.16
57.5S,162.5E,0.18
57.5S,167.5E,0.23
57.5S,172.5E,0.25
57.5S,177.5E,0.24
57.5S,177.5W,0.37
57.5S,172.5W,0.44
57.5S,167.5W,0.45
57.5S,162.5W,0.41
57.5S,157.5W,0.34
57.5S,152.5W,0.21
57.5S,147.5W,0.13
57.5S,142.5W,0.17
57.5S,137.5W,0.13
57.5S,132.5W,0.09
57.5S,127.5W,0.10
57.5S,122.5W,-0.02
57.5S,117.5W,-0.23
57.5S,112.5W,-0.33
57.5S,107.5W,-0.38
57.5S,102.5W,-0.42
57.5S,97.5W,-0.49
57.5S,92.5W,-0.55
57.5S,87.5W,-0.59
57.5S,82.5W,-0.53
57.5S,77.5W,-0.49
57.5S,72.5W,-0.51
57.5S,67.5W,-0.43
57.5S,62.5W,-0.18
57.5S,57.5W,-0.05
57.5S,52.5W,0.10
57.5S,47.5W,0.26
57.5S,42.5W,0.44
57.5S,37.5W,0.65
57.5S,32.5W,0.77
57.5S,27.5W,0.86
57.5S,22.5W,0.87
57.5S,17.5W,0.86
57.5S,12.5W,0.81
57.5S,7.5W,0.73
57.5S,2.5W,0.60
52.5S,2.5E,0.82
52.5S,7.5E,0.76
52.5S,12.5E,0.70
52.5S,17.5E,0.57
52.5S,22.5E,0.48
52.5S,27.5E,0.48
52.5S,32.5E,0.40
52.5S,37.5E,0.34
52.5S,42.5E,0.25
52.5S,47.5E,0.12
52.5S,52.5E,0.06
52.5S,57.5E,0.05
52.5S,62.5E,0.07
52.5S,67.5E,0.08
52.5S,72.5E,0.04
52.5S,77.5E,0.01
52.5S,82.5E,0.15
52.5S,87.5E,0.27
52.5S,92.5E,0.18
52.5S,97.5E,0.14
52.5S,102.5E,0.10
52.5S,107.5E,0.01
52.5S,112.5E,-0.07
52.5S,117.5E,-0.11
52.5S,122.5E,-0.14
52.5S,127.5E,-0.13
52.5S,132.5E,-0.05
52.5S,137.5E,0.03
52.5S,142.5E,0.10
52.5S,147.5E,0.22
52.5S,152.5E,0.34
52.5S,157.5E,0.41
52.5S,162.5E,0.45
52.5S,167.5E,0.43
52.5S,172.5E,0.46
52.5S,177.5E,0.42
52.5S,177.5W,0.44
52.5S,172.5W,0.48
52.5S,167.5W,0.50
52.5S,162.5W,0.48
52.5S,157.5W,0.44
52.5S,152.5W,0.42
52.5S,147.5W,0.39
52.5S,142.5W,0.45
52.5S,137.5W,0.44
52.5S,132.5W,0.42
52.5S,127.5W,0.37
52.5S,122.5W,0.20
52.5S,117.5W,0.00
52.5S,112.5W,-0.14
52.5S,107.5W,-0.24
52.5S,102.5W,-0.35
52.5S,97.5W,-0.45
52.5S,92.5W,-0.53
52.5S,87.5W,-0.60
52.5S,82.5W,-0.63
52.5S,77.5W,-0.56
52.5S,72.5W,-0.55
52.5S,67.5W,-0.70
52.5S,62.5W,-0.29
52.5S,57.5W,-0.04
52.5S,52.5W,0.23
52.5S,47.5W,0.31
52.5S,42.5W,0.32
52.5S,37.5W,0.39
52.5S,32.5W,0.67
52.5S,27.5W,0.84
52.5S,22.5W,0.95
52.5S,17.5W,1.05
52.5S,12.5W,1.07
52.5S,7.5W,0.95
52.5S,2.5W,0.90
47.5S,2.5E,1.08
47.5S,7.5E,1.03
47.5S,12.5E,0.99
47.5S,17.5E,0.84
47.5S,22.5E,0.91
47.5S,27.5E,0.85
47.5S,32.5E,0.63
47.5S,37.5E,0.54
47.5S,42.5E,0.33
47.5S,47.5E,0.16
47.5S,52.5E,0.17
47.5S,57.5E,0.11
47.5S,62.5E,0.15
47.5S,67.5E,0.18
47.5S,72.5E,0.25
47.5S,77.5E,0.35
47.5S,82.5E,0.43
47.5S,87.5E,0.51
47.5S,92.5E,0.39
47.5S,97.5E,0.28
47.5S,102.5E,0.16
47.5S,107.5E,0.06
47.5S,112.5E,0.03
47.5S,117.5E,0.01
47.5S,122.5E,-0.02
47.5S,127.5E,-0.02
47.5S,132.5E,0.06
47.5S,137.5E,0.27
47.5S,142.5E,0.53
47.5S,147.5E,0.71
47.5S,152.5E,0.70
47.5S,157.5E,0.68
47.5S,162.5E,0.65
47.5S,167.5E,0.56
47.5S,172.5E,0.51
47.5S,177.5E,0.50
47.5S,177.5W,0.54
47.5S,172.5W,0.55
47.5S,167.5W,0.55
47.5S,162.5W,0.63
47.5S,157.5W,0.69
47.5S,152.5W,0.71
47.5S,147.5W,0.66
47.5S,142.5W,0.62
47.5S,137.5W,0.64
47.5S,132.5W,0.67
47.5S,127.5W,0.70
47.5S,122.5W,0.58
47.5S,117.5W,0.37
47.5S,112.5W,0.13
47.5S,107.5W,-0.09
47.5S,102.5W,-0.32
47.5S,97.5W,-0.45
47.5S,92.5W,-0.60
47.5S,87.5W,-0.66
47.5S,82.5W,-0.67
47.5S,77.5W,-0.63
47.5S,72.5W,-0.31
47.5S,67.5W,-0.76
47.5S,62.5W,-0.60
47.5S,57.5W,-0.34
47.5S,52.5W,-0.04
47.5S,47.5W,0.20
47.5S,42.5W,0.30
47.5S,37.5W,0.32
47.5S,32.5W,0.49
47.5S,27.5W,0.72
47.5S,22.5W,0.96
47.5S,17.5W,1.11
47.5S,12.5W,1.16
47.5S,7.5W,1.15
47.5S,2.5W,1.19
42.5S,2.5E,0.72
42.5S,7.5E,0.77
42.5S,12.5E,0.69
42.5S,17.5E,0.73
42.5S,22.5E,1.25
42.5S,27.5E,1.09
42.5S,32.5E,0.88
42.5S,37.5E,0.56
42.5S,42.5E,0.24
42.5S,47.5E,0.01
42.5S,52.5E,-0.02
42.5S,57.5E,-0.02
42.5S,62.5E,0.12
42.5S,67.5E,0.35
42.5S,72.5E,0.50
42.5S,77.5E,0.79
42.5S,82.5E,0.87
42.5S,87.5E,0.81
42.5S,92.5E,0.66
42.5S,97.5E,0.56
42.5S,102.5E,0.43
42.5S,107.5E,0.38
42.5S,112.5E,0.45
42.5S,117.5E,0.44
42.5S,122.5E,0.33
42.5S,127.5E,0.22
42.5S,132.5E,0.23
42.5S,137.5E,0.42
42.5S,142.5E,0.65
42.5S,147.5E,0.84
42.5S,152.5E,0.79
42.5S,157.5E,0.68
42.5S,162.5E,0.63
42.5S,167.5E,0.61
42.5S,172.5E,0.50
42.5S,177.5E,0.50
42.5S,177.5W,0.54
42.5S,172.5W,0.55
42.5S,167.5W,0.53
42.5S,162.5W,0.67
42.5S,157.5W,0.72
42.5S,152.5W,0.72
42.5S,147.5W,0.71
42.5S,142.5W,0.73
42.5S,137.5W,0.84
42.5S,132.5W,1.01
42.5S,127.5W,1.03
42.5S,122.5W,0.95
42.5S,117.5W,0.76
42.5S,112.5W,0.44
42.5S,107.5W,0.10
42.5S,102.5W,-0.24
42.5S,97.5W,-0.54
42.5S,92.5W,-0.81
42.5S,87.5W,-0.85
42.5S,82.5W,-0.79
42.5S,77.5W,-0.61
42.5S,72.5W,-0.52
42.5S,67.5W,0.00
42.5S,62.5W,-0.47
42.5S,57.5W,-0.39
42.5S,52.5W,-0.29
42.5S,47.5W,-0.10
42.5S,42.5W,0.08
42.5S,37.5W,0.17
42.5S,32.5W,0.27
42.5S,27.5W,0.43
42.5S,22.5W,0.61
42.5S,17.5W,0.67
42.5S,12.5W,0.59
42.5S,7.5W,0.63
42.5S,2.5W,0.77
37.5S,2.5E,0.20
37.5S,7.5E,0.45
37.5S,12.5E,0.35
37.5S,17.5E,0.40
37.5S,22.5E,0.61
37.5S,27.5E,0.61
37.5S,32.5E,0.46
37.5S,37.5E,0.16
37.5S,42.5E,0.02
37.5S,47.5E,-0.20
37.5S,52.5E,-0.31
37.5S,57.5E,-0.11
37.5S,62.5E,0.21
37.5S,67.5E,0.50
37.5S,72.5E,0.79
37.5S,77.5E,1.01
37.5S,82.5E,1.13
37.5S,87.5E,1.03
37.5S,92.5E,0.79
37.5S,97.5E,0.60
37.5S,102.5E,0.47
37.5S,107.5E,0.54
37.5S,112.5E,0.77
37.5S,117.5E,0.74
37.5S,122.5E,0.52
37.5S,127.5E,0.42
37.5S,132.5E,0.34
37.5S,137.5E,0.22
37.5S,142.5E,0.50
37.5S,147.5E,0.92
37.5S,152.5E,0.57
37.5S,157.5E,0.47
37.5S,162.5E,0.49
37.5S,167.5E,0.50
37.5S,172.5E,0.53
37.5S,177.5E,0.43
37.5S,177.5W,0.49
37.5S,172.5W,0.48
37.5S,167.5W,0.42
37.5S,162.5W,0.46
37.5S,157.5W,0.45
37.5S,152.5W,0.37
37.5S,147.5W,0.35
37.5S,142.5W,0.52
37.5S,137.5W,0.75
37.5S,132.5W,0.93
37.5S,127.5W,0.97
37.5S,122.5W,0.89
37.5S,117.5W,0.66
37.5S,112.5W,0.26
37.5S,107.5W,-0.11
37.5S,102.5W,-0.45
37.5S,97.5W,-0.78
37.5S,92.5W,-0.98
37.5S,87.5W,-0.97
37.5S,82.5W,-0.79
37.5S,77.5W,-0.40
37.5S,72.5W,-0.54
37.5S,67.5W,-0.19
37.5S,62.5W,0.26
37.5S,57.5W,-0.20
37.5S,52.5W,-0.14
37.5S,47.5W,-0.17
37.5S,42.5W,-0.27
37.5S,37.5W,-0.30
37.5S,32.5W,-0.26
37.5S,27.5W,-0.18
37.5S,22.5W,-0.14
37.5S,17.5W,-0.10
37.5S,12.5W,-0.16
37.5S,7.5W,-0.02
37.5S,2.5W,0.10
32.5S,2.5E,0.60
32.5S,7.5E,0.79
32.5S,12.5E,0.66
32.5S,17.5E,0.78
32.5S,22.5E,1.63
32.5S,27.5E,0.84
32.5S,32.5E,0.15
32.5S,37.5E,-0.14
32.5S,42.5E,-0.29
32.5S,47.5E,-0.35
32.5S,52.5E,-0.27
32.5S,57.5E,0.11
32.5S,62.5E,0.58
32.5S,67.5E,1.05
32.5S,72.5E,1.35
32.5S,77.5E,1.46
32.5S,82.5E,1.34
32.5S,87.5E,1.03
32.5S,92.5E,0.67
32.5S,97.5E,0.52
32.5S,102.5E,0.55
32.5S,107.5E,0.55
32.5S,112.5E,0.52
32.5S,117.5E,2.24
32.5S,122.5E,0.43
32.5S,127.5E,-0.10
32.5S,132.5E,-0.11
32.5S,137.5E,-0.15
32.5S,142.5E,0.69
32.5S,147.5E,1.10
32.5S,152.5E,0.44
32.5S,157.5E,0.17
32.5S,162.5E,0.18
32.5S,167.5E,0.23
32.5S,172.5E,0.31
32.5S,177.5E,0.33
32.5S,177.5W,0.34
32.5S,172.5W,0.25
32.5S,167.5W,0.12
32.5S,162.5W,0.01
32.5S,157.5W,-0.11
32.5S,152.5W,-0.25
32.5S,147.5W,-0.27
32.5S,142.5W,-0.12
32.5S,137.5W,0.11
32.5S,132.5W,0.33
32.5S,127.5W,0.47
32.5S,122.5W,0.41
32.5S,117.5W,0.16
32.5S,112.5W,-0.14
32.5S,107.5W,-0.43
32.5S,102.5W,-0.70
32.5S,97.5W,-0.79
32.5S,92.5W,-0.83
32.5S,87.5W,-0.81
32.5S,82.5W,-0.49
32.5S,77.5W,-0.05
32.5S,72.5W,-0.06
32.5S,67.5W,0.42
32.5S,62.5W,0.26
32.5S,57.5W,-0.24
32.5S,52.5W,-0.24
32.5S,47.5W,-0.18
32.5S,42.5W,-0.41
32.5S,37.5W,-0.54
32.5S,32.5W,-0.50
32.5S,27.5W,-0.36
32.5S,22.5W,-0.24
32.5S,17.5W,-0.18
32.5S,12.5W,-0.09
32.5S,7.5W,0.13
32.5S,2.5W,0.36
27.5S,2.5E,1.14
27.5S,7.5E,1.07
27.5S,12.5E,0.98
27.5S,17.5E,1.55
27.5S,22.5E,2.21
27.5S,27.5E,1.43
27.5S,32.5E,0.29
27.5S,37.5E,-0.03
27.5S,42.5E,-0.18
27.5S,47.5E,0.02
27.5S,52.5E,0.20
27.5S,57.5E,0.59
27.5S,62.5E,1.10
27.5S,67.5E,1.43
27.5S,72.5E,1.55
27.5S,77.5E,1.43
27.5S,82.5E,1.10
27.5S,87.5E,0.69
27.5S,92.5E,0.45
27.5S,97.5E,0.36
27.5S,102.5E,0.45
27.5S,107.5E,0.53
27.5S,112.5E,0.60
27.5S,117.5E,2.51
27.5S,122.5E,1.49
27.5S,127.5E,1.39
27.5S,132.5E,1.32
27.5S,137.5E,1.78
27.5S,142.5E,1.69
27.5S,147.5E,0.75
27.5S,152.5E,0.45
27.5S,157.5E,-0.04
27.5S,162.5E,0.05
27.5S,167.5E,0.14
27.5S,172.5E,0.22
27.5S,177.5E,0.21
27.5S,177.5W,0.15
27.5S,172.5W,-0.08
27.5S,167.5W,-0.28
27.5S,162.5W,-0.43
27.5S,157.5W,-0.58
27.5S,152.5W,-0.76
27.5S,147.5W,-0.71
27.5S,142.5W,-0.62
27.5S,137.5W,-0.35
27.5S,132.5W,-0.16
27.5S,127.5W,0.02
27.5S,122.5W,-0.06
27.5S,117.5W,-0.17
27.5S,112.5W,-0.30
27.5S,107.5W,-0.37
27.5S,102.5W,-0.49
27.5S,97.5W,-0.49
27.5S,92.5W,-0.48
27.5S,87.5W,-0.37
27.5S,82.5W,-0.11
27.5S,77.5W,0.15
27.5S,72.5W,0.30
27.5S,67.5W,0.73
27.5S,62.5W,0.88
27.5S,57.5W,0.90
27.5S,52.5W,0.59
27.5S,47.5W,0.50
27.5S,42.5W,-0.01
27.5S,37.5W,-0.11
27.5S,32.5W,-0.03
27.5S,27.5W,0.20
27.5S,22.5W,0.32
27.5S,17.5W,0.45
27.5S,12.5W,0.72
27.5S,7.5W,1.00
27.5S,2.5W,1.14
22.5S,2.5E,1.25
22.5S,7.5E,1.19
22.5S,12.5E,1.26
22.5S,17.5E,1.12
22.5S,22.5E,0.49
22.5S,27.5E,0.72
22.5S,32.5E,0.64
22.5S,37.5E,0.06
22.5S,42.5E,0.06
22.5S,47.5E,0.66
22.5S,52.5E,0.93
22.5S,57.5E,1.11
22.5S,62.5E,1.36
22.5S,67.5E,1.48
22.5S,72.5E,1.54
22.5S,77.5E,1.28
22.5S,82.5E,0.78
22.5S,87.5E,0.34
22.5S,92.5E,0.11
22.5S,97.5E,0.16
22.5S,102.5E,0.43
22.5S,107.5E,0.60
