December 2023 Global Gridded Temperature Anomalies (Degrees Celsius)
Base Period: 1991-2020
Missing: -999.00
Latitude,Longitude,Anomaly
62.5S,47.5E,0.08
62.5S,52.5E,0.07
62.5S,57.5E,0.06
62.5S,62.5E,0.02
62.5S,67.5E,0.01
62.5S,72.5E,0.05
62.5S,77.5E,0.10
62.5S,82.5E,0.17
62.5S,87.5E,0.27
62.5S,92.5E,0.20
62.5S,97.5E,0.09
62.5S,102.5E,0.25
62.5S,107.5E,0.16
62.5S,112.5E,0.03
62.5S,117.5E,-0.03
62.5S,122.5E,-0.13
62.5S,127.5E,-0.25
62.5S,132.5E,-0.37
62.5S,137.5E,-0.49
62.5S,142.5E,-0.53
62.5S,147.5E,-0.42
62.5S,152.5E,-0.23
62.5S,157.5E,-0.01
62.5S,162.5E,0.10
62.5S,167.5E,0.09
62.5S,172.5E,0.05
62.5S,177.5E,0.13
62.5S,177.5W,0.30
62.5S,172.5W,0.42
62.5S,167.5W,0.42
62.5S,162.5W,0.36
62.5S,157.5W,0.25
62.5S,152.5W,0.09
62.5S,147.5W,-0.01
62.5S,142.5W,-0.07
62.5S,137.5W,-0.21
62.5S,132.5W,-0.38
62.5S,127.5W,-0.49
62.5S,122.5W,-0.58
62.5S,117.5W,-0.74
62.5S,112.5W,-0.87
62.5S,107.5W,-0.95
62.5S,102.5W,-1.00
62.5S,97.5W,-1.05
62.5S,92.5W,-1.05
62.5S,87.5W,-1.02
62.5S,82.5W,-0.91
62.5S,77.5W,-0.89
62.5S,72.5W,-0.84
62.5S,67.5W,-0.63
62.5S,62.5W,-0.25
62.5S,57.5W,-0.02
62.5S,52.5W,0.12
62.5S,47.5W,0.17
62.5S,42.5W,0.39
62.5S,37.5W,0.58
62.5S,32.5W,0.54
62.5S,27.5W,0.63
62.5S,22.5W,0.59
62.5S,17.5W,0.47
62.5S,12.5W,0.34
62.5S,7.5W,0.22
62.5S,2.5W,0.21
57.5S,2.5E,0.53
57.5S,7.5E,0.53
57.5S,12.5E,0.51
57.5S,17.5E,0.47
57.5S,22.5E,0.39
57.5S,27.5E,0.34
57.5S,32.5E,0.34
57.5S,37.5E,0.32
57.5S,42.5E,0.27
57.5S,47.5E,0.20
57.5S,52.5E,0.13
57.5S,57.5E,0.06
57.5S,62.5E,0.02
57.5S,67.5E,-0.02
57.5S,72.5E,-0.01
57.5S,77.5E,0.04
57.5S,82.5E,0.10
57.5S,87.5E,0.15
57.5S,92.5E,0.12
57.5S,97.5E,0.13
57.5S,102.5E,0.15
57.5S,107.5E,0.11
57.5S,112.5E,0.04
57.5S,117.5E,-0.04
57.5S,122.5E,-0.13
57.5S,127.5E,-0.29
57.5S,132.5E,-0.45
57.5S,137.5E,-0.64
57.5S,142.5E,-0.75
57.5S,147.5E,-0.57
57.5S,152.5E,-0.36
57.5S,157.5E,-0.21
57.5S,162.5E,-0.13
57.5S,167.5E,0.03
57.5S,172.5E,0.08
57.5S,177.5E,0.10
57.5S,177.5W,0.29
57.5S,172.5W,0.37
57.5S,167.5W,0.37
57.5S,162.5W,0.34
57.5S,157.5W,0.33
57.5S,152.5W,0.22
57.5S,147.5W,0.13
57.5S,142.5W,0.15
57.5S,137.5W,0.10
57.5S,132.5W,0.01
57.5S,127.5W,-0.03
57.5S,122.5W,-0.17
57.5S,117.5W,-0.41
57.5S,112.5W,-0.53
57.5S,107.5W,-0.58
57.5S,102.5W,-0.61
57.5S,97.5W,-0.67
57.5S,92.5W,-0.70
57.5S,87.5W,-0.72
57.5S,82.5W,-0.66
57.5S,77.5W,-0.59
57.5S,72.5W,-0.59
57.5S,67.5W,-0.53
57.5S,62.5W,-0.26
57.5S,57.5W,-0.12
57.5S,52.5W,0.03
57.5S,47.5W,0.19
57.5S,42.5W,0.36
57.5S,37.5W,0.51
57.5S,32.5W,0.64
57.5S,27.5W,0.74
57.5S,22.5W,0.74
57.5S,17.5W,0.75
57.5S,12.5W,0.75
57.5S,7.5W,0.70
57.5S,2.5W,0.58
52.5S,2.5E,0.79
52.5S,7.5E,0.79
52.5S,12.5E,0.76
52.5S,17.5E,0.67
52.5S,22.5E,0.66
52.5S,27.5E,0.74
52.5S,32.5E,0.69
52.5S,37.5E,0.66
52.5S,42.5E,0.55
52.5S,47.5E,0.41
52.5S,52.5E,0.31
52.5S,57.5E,0.25
52.5S,62.5E,0.25
52.5S,67.5E,0.25
52.5S,72.5E,0.17
52.5S,77.5E,0.17
52.5S,82.5E,0.35
52.5S,87.5E,0.44
52.5S,92.5E,0.32
52.5S,97.5E,0.28
52.5S,102.5E,0.20
52.5S,107.5E,0.13
52.5S,112.5E,0.09
52.5S,117.5E,0.07
52.5S,122.5E,-0.01
52.5S,127.5E,-0.07
52.5S,132.5E,-0.10
52.5S,137.5E,-0.18
52.5S,142.5E,-0.22
52.5S,147.5E,-0.09
52.5S,152.5E,0.04
52.5S,157.5E,0.17
52.5S,162.5E,0.21
52.5S,167.5E,0.27
52.5S,172.5E,0.33
52.5S,177.5E,0.32
52.5S,177.5W,0.36
52.5S,172.5W,0.45
52.5S,167.5W,0.46
52.5S,162.5W,0.42
52.5S,157.5W,0.44
52.5S,152.5W,0.45
52.5S,147.5W,0.40
52.5S,142.5W,0.50
52.5S,137.5W,0.49
52.5S,132.5W,0.42
52.5S,127.5W,0.34
52.5S,122.5W,0.15
52.5S,117.5W,-0.06
52.5S,112.5W,-0.19
52.5S,107.5W,-0.29
52.5S,102.5W,-0.41
52.5S,97.5W,-0.52
52.5S,92.5W,-0.62
52.5S,87.5W,-0.69
52.5S,82.5W,-0.72
52.5S,77.5W,-0.62
52.5S,72.5W,-0.29
52.5S,67.5W,-0.49
52.5S,62.5W,-0.27
52.5S,57.5W,0.01
52.5S,52.5W,0.25
52.5S,47.5W,0.27
52.5S,42.5W,0.22
52.5S,37.5W,0.23
52.5S,32.5W,0.46
52.5S,27.5W,0.57
52.5S,22.5W,0.67
52.5S,17.5W,0.81
52.5S,12.5W,0.90
52.5S,7.5W,0.88
52.5S,2.5W,0.84
47.5S,2.5E,0.83
47.5S,7.5E,0.90
47.5S,12.5E,0.92
47.5S,17.5E,0.87
47.5S,22.5E,1.11
47.5S,27.5E,1.14
47.5S,32.5E,0.88
47.5S,37.5E,0.80
47.5S,42.5E,0.63
47.5S,47.5E,0.48
47.5S,52.5E,0.45
47.5S,57.5E,0.47
47.5S,62.5E,0.53
47.5S,67.5E,0.47
47.5S,72.5E,0.45
47.5S,77.5E,0.51
47.5S,82.5E,0.63
47.5S,87.5E,0.68
47.5S,92.5E,0.59
47.5S,97.5E,0.44
47.5S,102.5E,0.25
47.5S,107.5E,0.17
47.5S,112.5E,0.20
47.5S,117.5E,0.19
47.5S,122.5E,0.10
47.5S,127.5E,0.03
47.5S,132.5E,0.05
47.5S,137.5E,0.22
47.5S,142.5E,0.47
47.5S,147.5E,0.56
47.5S,152.5E,0.50
47.5S,157.5E,0.52
47.5S,162.5E,0.47
47.5S,167.5E,0.47
47.5S,172.5E,0.47
47.5S,177.5E,0.47
47.5S,177.5W,0.58
47.5S,172.5W,0.63
47.5S,167.5W,0.65
47.5S,162.5W,0.75
47.5S,157.5W,0.82
47.5S,152.5W,0.79
47.5S,147.5W,0.67
47.5S,142.5W,0.64
47.5S,137.5W,0.64
47.5S,132.5W,0.67
47.5S,127.5W,0.71
47.5S,122.5W,0.61
47.5S,117.5W,0.42
47.5S,112.5W,0.24
47.5S,107.5W,0.02
47.5S,102.5W,-0.25
47.5S,97.5W,-0.43
47.5S,92.5W,-0.65
47.5S,87.5W,-0.75
47.5S,82.5W,-0.77
47.5S,77.5W,-0.69
47.5S,72.5W,0.20
47.5S,67.5W,-0.60
47.5S,62.5W,-0.52
47.5S,57.5W,-0.14
47.5S,52.5W,0.26
47.5S,47.5W,0.38
47.5S,42.5W,0.35
47.5S,37.5W,0.25
47.5S,32.5W,0.28
47.5S,27.5W,0.38
47.5S,22.5W,0.51
47.5S,17.5W,0.67
47.5S,12.5W,0.80
47.5S,7.5W,0.83
47.5S,2.5W,0.91
42.5S,2.5E,0.31
42.5S,7.5E,0.36
42.5S,12.5E,0.28
42.5S,17.5E,0.57
42.5S,22.5E,1.37
42.5S,27.5E,1.16
42.5S,32.5E,0.81
42.5S,37.5E,0.62
42.5S,42.5E,0.27
42.5S,47.5E,-0.03
42.5S,52.5E,0.14
42.5S,57.5E,0.39
42.5S,62.5E,0.56
42.5S,67.5E,0.66
42.5S,72.5E,0.61
42.5S,77.5E,0.72
42.5S,82.5E,0.77
42.5S,87.5E,0.72
42.5S,92.5E,0.65
42.5S,97.5E,0.57
42.5S,102.5E,0.50
42.5S,107.5E,0.49
42.5S,112.5E,0.56
42.5S,117.5E,0.52
42.5S,122.5E,0.41
42.5S,127.5E,0.27
42.5S,132.5E,0.27
42.5S,137.5E,0.45
42.5S,142.5E,0.69
42.5S,147.5E,0.88
42.5S,152.5E,0.93
42.5S,157.5E,0.79
42.5S,162.5E,0.66
42.5S,167.5E,0.66
42.5S,172.5E,0.68
42.5S,177.5E,0.56
42.5S,177.5W,0.73
42.5S,172.5W,0.75
42.5S,167.5W,0.80
42.5S,162.5W,0.97
42.5S,157.5W,0.95
42.5S,152.5W,0.85
42.5S,147.5W,0.74
42.5S,142.5W,0.66
42.5S,137.5W,0.75
42.5S,132.5W,0.93
42.5S,127.5W,1.03
42.5S,122.5W,1.04
42.5S,117.5W,0.97
42.5S,112.5W,0.74
42.5S,107.5W,0.40
42.5S,102.5W,0.00
42.5S,97.5W,-0.43
42.5S,92.5W,-0.84
42.5S,87.5W,-0.97
42.5S,82.5W,-0.94
42.5S,77.5W,-0.74
42.5S,72.5W,-0.16
42.5S,67.5W,-0.30
42.5S,62.5W,-0.44
42.5S,57.5W,-0.31
42.5S,52.5W,-0.12
42.5S,47.5W,0.04
42.5S,42.5W,0.11
42.5S,37.5W,0.11
42.5S,32.5W,0.08
42.5S,27.5W,0.13
42.5S,22.5W,0.20
42.5S,17.5W,0.20
42.5S,12.5W,0.10
42.5S,7.5W,0.22
42.5S,2.5W,0.31
37.5S,2.5E,-0.17
37.5S,7.5E,0.01
37.5S,12.5E,-0.10
37.5S,17.5E,0.22
37.5S,22.5E,0.63
37.5S,27.5E,0.54
37.5S,32.5E,0.36
37.5S,37.5E,0.24
37.5S,42.5E,0.08
37.5S,47.5E,-0.18
37.5S,52.5E,-0.13
37.5S,57.5E,0.14
37.5S,62.5E,0.31
37.5S,67.5E,0.45
37.5S,72.5E,0.58
37.5S,77.5E,0.67
37.5S,82.5E,0.81
37.5S,87.5E,0.77
37.5S,92.5E,0.75
37.5S,97.5E,0.75
37.5S,102.5E,0.80
37.5S,107.5E,0.82
37.5S,112.5E,0.85
37.5S,117.5E,0.76
37.5S,122.5E,0.65
37.5S,127.5E,0.54
37.5S,132.5E,0.49
37.5S,137.5E,0.34
37.5S,142.5E,0.51
37.5S,147.5E,1.06
37.5S,152.5E,1.24
37.5S,157.5E,0.96
37.5S,162.5E,0.84
37.5S,167.5E,0.78
37.5S,172.5E,0.77
37.5S,177.5E,0.82
37.5S,177.5W,0.81
37.5S,172.5W,0.81
37.5S,167.5W,0.82
37.5S,162.5W,0.84
37.5S,157.5W,0.68
37.5S,152.5W,0.44
37.5S,147.5W,0.32
37.5S,142.5W,0.39
37.5S,137.5W,0.56
37.5S,132.5W,0.72
37.5S,127.5W,0.89
37.5S,122.5W,0.97
37.5S,117.5W,0.85
37.5S,112.5W,0.51
37.5S,107.5W,0.14
37.5S,102.5W,-0.26
37.5S,97.5W,-0.77
37.5S,92.5W,-1.12
37.5S,87.5W,-1.22
37.5S,82.5W,-1.08
37.5S,77.5W,-0.68
37.5S,72.5W,-0.34
37.5S,67.5W,0.50
37.5S,62.5W,-0.29
37.5S,57.5W,-0.47
37.5S,52.5W,-0.26
37.5S,47.5W,-0.11
37.5S,42.5W,-0.24
37.5S,37.5W,-0.34
37.5S,32.5W,-0.35
37.5S,27.5W,-0.32
37.5S,22.5W,-0.31
37.5S,17.5W,-0.32
37.5S,12.5W,-0.44
37.5S,7.5W,-0.35
37.5S,2.5W,-0.24
32.5S,2.5E,0.65
32.5S,7.5E,0.70
32.5S,12.5E,0.39
32.5S,17.5E,0.37
32.5S,22.5E,0.20
32.5S,27.5E,-0.08
32.5S,32.5E,0.12
32.5S,37.5E,-0.03
32.5S,42.5E,-0.19
32.5S,47.5E,-0.32
32.5S,52.5E,-0.20
32.5S,57.5E,0.12
32.5S,62.5E,0.37
32.5S,67.5E,0.64
32.5S,72.5E,0.93
32.5S,77.5E,1.16
32.5S,82.5E,1.19
32.5S,87.5E,1.08
32.5S,92.5E,1.09
32.5S,97.5E,1.18
32.5S,102.5E,1.25
32.5S,107.5E,1.02
32.5S,112.5E,0.60
32.5S,117.5E,0.97
32.5S,122.5E,0.53
32.5S,127.5E,0.27
32.5S,132.5E,0.01
32.5S,137.5E,-0.37
32.5S,142.5E,1.32
32.5S,147.5E,1.74
32.5S,152.5E,1.43
32.5S,157.5E,0.82
32.5S,162.5E,0.68
32.5S,167.5E,0.71
32.5S,172.5E,0.73
32.5S,177.5E,0.78
32.5S,177.5W,0.79
32.5S,172.5W,0.63
32.5S,167.5W,0.49
32.5S,162.5W,0.30
32.5S,157.5W,0.02
32.5S,152.5W,-0.27
32.5S,147.5W,-0.40
32.5S,142.5W,-0.38
32.5S,137.5W,-0.27
32.5S,132.5W,-0.10
32.5S,127.5W,0.16
32.5S,122.5W,0.23
32.5S,117.5W,0.06
32.5S,112.5W,-0.22
32.5S,107.5W,-0.57
32.5S,102.5W,-0.93
32.5S,97.5W,-1.20
32.5S,92.5W,-1.37
32.5S,87.5W,-1.38
32.5S,82.5W,-1.04
32.5S,77.5W,-0.42
32.5S,72.5W,-0.17
32.5S,67.5W,0.72
32.5S,62.5W,-0.03
32.5S,57.5W,-0.67
32.5S,52.5W,-0.49
32.5S,47.5W,-0.08
32.5S,42.5W,-0.24
32.5S,37.5W,-0.36
32.5S,32.5W,-0.31
32.5S,27.5W,-0.18
32.5S,22.5W,-0.07
32.5S,17.5W,-0.06
32.5S,12.5W,0.00
32.5S,7.5W,0.18
32.5S,2.5W,0.44
27.5S,2.5E,1.44
27.5S,7.5E,1.08
27.5S,12.5E,0.70
27.5S,17.5E,0.41
27.5S,22.5E,0.79
27.5S,27.5E,0.24
27.5S,32.5E,-0.05
27.5S,37.5E,0.21
27.5S,42.5E,0.10
27.5S,47.5E,0.08
27.5S,52.5E,0.19
27.5S,57.5E,0.49
27.5S,62.5E,0.79
27.5S,67.5E,1.02
27.5S,72.5E,1.24
27.5S,77.5E,1.34
27.5S,82.5E,1.21
27.5S,87.5E,1.11
27.5S,92.5E,1.21
27.5S,97.5E,1.29
27.5S,102.5E,1.22
27.5S,107.5E,0.91
27.5S,112.5E,0.52
27.5S,117.5E,1.37
27.5S,122.5E,1.59
27.5S,127.5E,1.68
27.5S,132.5E,0.88
27.5S,137.5E,0.70
27.5S,142.5E,1.12
27.5S,147.5E,1.02
27.5S,152.5E,0.78
27.5S,157.5E,0.50
27.5S,162.5E,0.52
27.5S,167.5E,0.64
27.5S,172.5E,0.63
27.5S,177.5E,0.58
27.5S,177.5W,0.50
27.5S,172.5W,0.19
27.5S,167.5W,-0.01
27.5S,162.5W,-0.21
27.5S,157.5W,-0.50
27.5S,152.5W,-0.83
27.5S,147.5W,-0.94
27.5S,142.5W,-0.93
27.5S,137.5W,-0.81
27.5S,132.5W,-0.62
27.5S,127.5W,-0.41
27.5S,122.5W,-0.42
27.5S,117.5W,-0.51
27.5S,112.5W,-0.70
27.5S,107.5W,-0.84
27.5S,102.5W,-1.09
27.5S,97.5W,-1.21
27.5S,92.5W,-1.24
27.5S,87.5W,-1.08
27.5S,82.5W,-0.71
27.5S,77.5W,-0.27
27.5S,72.5W,0.04
27.5S,67.5W,0.32
27.5S,62.5W,0.18
27.5S,57.5W,0.43
27.5S,52.5W,0.98
27.5S,47.5W,0.70
27.5S,42.5W,0.38
27.5S,37.5W,0.36
27.5S,32.5W,0.46
27.5S,27.5W,0.67
27.5S,22.5W,0.77
27.5S,17.5W,0.88
27.5S,12.5W,1.15
27.5S,7.5W,1.43
27.5S,2.5W,1.53
22.5S,2.5E,1.53
22.5S,7.5E,1.21
22.5S,12.5E,0.99
22.5S,17.5E,0.41
22.5S,22.5E,0.63
22.5S,27.5E,0.12
22.5S,32.5E,0.14
22.5S,37.5E,0.47
22.5S,42.5E,0.43
22.5S,47.5E,0.69
22.5S,52.5E,0.86
22.5S,57.5E,1.02
22.5S,62.5E,1.20
22.5S,67.5E,1.29
22.5S,72.5E,1.33
22.5S,77.5E,1.21
22.5S,82.5E,0.99
22.5S,87.5E,0.89
22.5S,92.5E,0.89
22.5S,97.5E,0.97
22.5S,102.5E,0.94
22.5S,107.5E,0.74
22.5S,112.5E,0.39
